id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
5428666,Piso alto con terraza en  Recoleta,28158131,Luis Alejandro,,Recoleta,-34.59918,-58.39751,Entire home/apt,2010,5,10,2019-04-20,0.31,1,271
5430087,"San Telmo, Cozy room, Central location......",15906407,Paul,,Constitucion,-34.61794,-58.37899,Private room,461,3,51,2019-04-19,0.96,4,77
5430259,Cozy 2bd in the  center of Paternal,28167425,Maia,,Paternal,-34.602,-58.46744,Entire home/apt,1549,6,0,,,1,0
5431025,"Palermo,  Fantastic. Location, Location, Location!",28171277,Apto Bulnes BSAS,,Palermo,-34.58801,-58.41316,Entire home/apt,2303,3,13,2019-03-06,0.27,1,179
5431592,Awesome & Cozy flat in Palermo Gdns,2354201,Tomas,,Palermo,-34.58045,-58.41342,Entire home/apt,4188,3,9,2017-07-23,0.18,6,0
5433985,Palermo. Disfruta como en tu casa!,3169409,LucasyEmi,,Palermo,-34.58977,-58.41799,Entire home/apt,1508,1,118,2019-07-02,2.21,2,60
5443667,STUDIO EN RECOLETA  2 pax,3166647,Federico,,Recoleta,-34.59367,-58.39501,Entire home/apt,1884,4,9,2018-11-12,0.17,26,365
5444256,HABITACION BAÑO PRIVADO Y VESTIDOR,14563516,Sandra,,Monserrat,-34.61548,-58.38991,Private room,1508,1,0,,,1,365
5444887,Bright charming apartment w/bedroom & full office,79022,Alejandra,,Nuñez,-34.54856,-58.46128,Entire home/apt,963,14,10,2017-07-31,0.23,1,358
5450778,PRIVATE ROOMS - classic and modern RENEW HOUSE C4,4372509,Vicky,,Monserrat,-34.6155,-58.3749,Private room,628,7,1,2015-09-12,0.02,21,363
5451934,Palermo/Recoleta Great View,21858421,Gabriel,,Recoleta,-34.58767,-58.39841,Entire home/apt,1131,29,7,2019-05-12,0.19,5,278
5453558,Spacious room in beautiful apartment,3362739,Vibeke,,Monserrat,-34.60863,-58.37352,Entire home/apt,963,30,13,2019-03-01,0.32,1,0
5453934,Sunny ★ Walk to CityCenter ★ Subway ★ Netflix ★ AC,19093797,Sergio (Superhost),,Monserrat,-34.61723,-58.37757,Entire home/apt,2303,3,85,2019-07-09,3.51,1,334
5457652,Beautiful private room for rent in Belgrano,28169382,Rita,,Nuñez,-34.55295,-58.45995,Private room,712,3,16,2018-04-30,0.32,1,365
5464816,Felinos buscando humano,28343136,Vicente,,Constitucion,-34.62472,-58.38876,Private room,503,2,13,2019-02-20,0.54,2,349
5466844,Beautiful and very big apartment ,28352593,Christian,,Monserrat,-34.6086,-58.37951,Entire home/apt,5653,3,136,2019-07-11,2.66,1,321
5467081,Spacious and Sunny apartment!,1023327,Tino Y Loli,,San Telmo,-34.61822,-58.37482,Entire home/apt,1424,7,0,,,12,343
5467405,Arrabal Porteño,28355958,Jimena,,Balvanera,-34.60371,-58.40932,Entire home/apt,5444,1,2,2017-11-05,0.04,1,333
5468011,PALERMO SOHO STUDIO6 2/3 PAX NEW,11972481,Mario,,Palermo,-34.5896,-58.42512,Entire home/apt,1926,3,48,2019-07-07,0.92,3,334
5468885,Palermo - Lo mejor de Alto Palermo,26752208,Alejandro Martín,,Palermo,-34.58791,-58.41207,Entire home/apt,2010,4,28,2018-07-24,0.54,1,349
5476733,Un encanto en Recoleta!,28401880,Luciana,,Recoleta,-34.59661,-58.41141,Entire home/apt,2513,3,2,2016-04-08,0.05,1,349
5476775,Hermosa habitación en Congreso,24862878,Juli,,Monserrat,-34.61492,-58.39098,Private room,1256,1,0,,,2,365
5479421,Nice private room with toilet,27524566,Catalina,,Villa Crespo,-34.59547,-58.43317,Private room,670,1,29,2018-01-26,0.61,4,0
5489889,"Espectacular apto, vivira como en casa",9955081,Marta,,Palermo,-34.56842,-58.44555,Entire home/apt,3350,7,0,,,1,173
5495072,Gorgeous apartment in downtown BA!,28495500,Nilda,,Retiro,-34.59563,-58.37291,Entire home/apt,1340,5,50,2019-04-23,0.96,1,147
5508960,"Lovely apartment in Palermo, 55 mt2",22055825,Martin,,Palermo,-34.58342,-58.42401,Entire home/apt,1828,1,211,2019-07-14,4.05,6,1
5511563,Loft con increíble vista,28587637,Martina,,Recoleta,-34.58661,-58.38702,Entire home/apt,4188,1,0,,,1,365
5511994,Apt in Palermo,15941617,Malu,,Palermo,-34.58207,-58.41411,Entire home/apt,2338,2,9,2018-09-27,0.42,1,0
5512167,Masterroom with balcony,1638546,Maria Paula,,San Nicolas,-34.60875,-58.38676,Private room,2722,1,15,2019-07-12,0.94,3,308
5520819,Hogar en Buenos Aires,25695997,Candy,,Palermo,-34.57612,-58.43455,Entire home/apt,838,90,0,,,2,206
5521452,Excellent house 2 bedrooms & yard,25425922,Matias,,Velez Sarsfield,-34.63184,-58.49459,Entire home/apt,2168,2,34,2019-05-27,0.72,1,86
5525399,Espectacular Estudio Las Cañitas.,14434399,Javier Bernardo,,Palermo,-34.57133,-58.43489,Entire home/apt,1508,2,18,2019-01-04,0.35,4,180
5530887,Genial Apartamento en Palermo,28681764,Guillermo,,Palermo,-34.58751,-58.41687,Entire home/apt,2722,2,5,2017-11-21,0.11,1,226
5533184,Perfect home for 2/3 in Recoleta,7362681,Manuel,,Recoleta,-34.59242,-58.40131,Entire home/apt,1591,3,78,2019-04-21,1.88,1,350
5536368,Sunny Duplex Las Cañitas!,7835405,Vanina,,Palermo,-34.56849,-58.43183,Entire home/apt,2094,1,0,,,1,47
